cik,fyear,Z_score_c,tier1_c,past_due_90,past_due_nonaccrual,non_perf_loan,rssdid,cik_original,gvkey,tic,cusip,conm,roa,roe,leverage,tobinq,mark_to_bk,eps,at,bkvlps,ceq,csho,dlc,dltt,ni,seq,mkvalt,prcc_f
18349,2015,2219.4263,0.11035722,2403.4097,154333.36,156736.78,1078846,18349,13041,SNV,87161C501,SYNOVUS FINANCIAL CORP,0.0078520728,56.50872,0.78792119,1.0458629,189.06516,1.7451736,28792.652,22.186701,2874.2161,129.547,227.104,2136.814,226.082,3000.196,4194.7319,32.380001
18349,2016,464.34308,0.10817945,2822.7415,138100.94,140923.67,1078846,18349,13041,SNV,87161C501,SYNOVUS FINANCIAL CORP,0.0081977136,82.916649,0.79256839,1.0737691,219.17053,2.0184188,30104.002,22.9168,2801.9441,122.266,438.37799,1882.202,246.784,2927.9241,5022.6875,41.080002
19612,2000,644.18518,0.15651378,,,,1201934,19612,15197,CHFC,163731102,CHEMICAL FINANCIAL CORP,0.014698311,48.415829,0.29163581,1.0297019,17.058558,2.0712655,1973.424,19.1894,268.729,14.004,71.011002,7.3600001,29.006001,268.729,327.34351,23.375
19612,2001,90.836411,0.14147927,7593.2451,8472.8379,16066.084,1201934,19612,15197,CHFC,163731102,CHEMICAL FINANCIAL CORP,0.012247492,57.232197,0.73558247,1.0830106,39.253468,1.8976192,3488.3059,17.298401,389.45599,22.514,286.47699,0,42.723,389.45599,679.02222,30.16
19612,2002,4079.5693,0.14203548,2909.8096,5837.6401,8747.4492,1201934,19612,15197,CHFC,163731102,CHEMICAL FINANCIAL CORP,0.01539553,78.315384,0.60790449,1.0826129,38.009686,2.4359372,3568.8931,19.078699,430.33899,22.556,113.232,148.373,54.945,430.33899,725.17542,32.150002
19612,2003,822.31171,0.15007648,5483.9741,7880.8569,13364.831,1201934,19612,15197,CHFC,163731102,CHEMICAL FINANCIAL CORP,0.015022293,85.185715,0.53901875,1.1100247,45.005089,2.34091,3708.8879,19.2449,458.04901,23.801001,111.901,134.996,55.716,458.04901,866.11841,36.389999
19612,2004,1249.1018,0.15126096,1883.2065,9566.416,11449.623,1201934,19612,15197,CHFC,163731102,CHEMICAL FINANCIAL CORP,0.015058479,96.658249,0.7978574,1.1581821,56.078609,2.2520561,3764.125,19.263201,484.836,25.169001,225.06599,161.76401,56.681999,484.836,1080.2535,42.919998
19612,2005,1336.4402,0.15552115,6246.0649,16000.871,22246.936,1201934,19612,15197,CHFC,163731102,CHEMICAL FINANCIAL CORP,0.014103373,66.9646,0.79902411,1.0787995,39.866314,2.1084573,3749.3159,19.9795,501.065,25.079,287.29099,113.072,52.877998,501.065,796.50897,31.76
19612,2006,905.22949,0.16298477,7188.2876,21811.656,28999.945,1201934,19612,15197,CHFC,163731102,CHEMICAL FINANCIAL CORP,0.012362351,62.828468,0.69708753,1.0841556,40.416714,1.8867408,3789.2471,20.4562,507.88599,24.827999,223.992,130.049,46.844002,507.88599,826.7724,33.299999
19612,2007,794.30823,0.16860591,8043.0688,57578.801,65621.867,1201934,19612,15197,CHFC,163731102,CHEMICAL FINANCIAL CORP,0.010390449,38.968048,0.68325782,1.0154742,26.535971,1.6380012,3754.313,21.350599,508.46399,23.815001,262.38699,85.025002,39.008999,508.46399,566.5589,23.790001
19612,2008,92.016685,0.16939121,17203.906,78010.008,95213.914,1201934,19612,15197,CHFC,163731102,CHEMICAL FINANCIAL CORP,0.0051214243,23.164648,0.75021362,1.0449779,32.347038,0.83086973,3874.313,20.583099,491.54401,23.881001,278.763,90,19.841999,491.54401,665.80231,27.879999
19612,2009,2279.7053,0.14349273,11788.44,107190.11,118978.55,1201934,19612,15197,CHFC,163731102,CHEMICAL FINANCIAL CORP,0.0023532528,9.8727865,0.69694358,1.0209467,28.375912,0.41869324,4250.7119,19.8531,474.311,23.891001,280.56799,50,10.003,474.311,563.34979,23.58
19612,2010,211.72308,0.12774938,7339.6802,102322.79,109662.47,1201934,19612,15197,CHFC,163731102,CHEMICAL FINANCIAL CORP,0.0044012736,18.638611,0.56569439,1.0090957,29.777864,0.84147233,5246.209,20.410999,560.078,27.440001,273.776,43.056999,23.09,560.078,607.79602,22.15
19612,2011,548.99103,0.12829483,3712.8936,75331.594,79044.484,1201934,19612,15197,CHFC,163731102,CHEMICAL FINANCIAL CORP,0.0080626234,33.427761,0.60665631,1.0025573,28.112741,1.5679061,5339.4531,20.822701,571.729,27.457001,312.586,34.257,43.049999,571.729,585.38318,21.32
19612,2012,423.94809,0.12961674,10798.665,67188.656,77987.32,1201934,19612,15197,CHFC,163731102,CHEMICAL FINANCIAL CORP,0.0086202174,44.072514,0.57811219,1.0096388,30.12908,1.8549038,5917.252,21.6859,596.341,27.499001,344.75201,0,51.007999,596.341,653.37622,23.76
19612,2013,1059.7347,0.13234386,10971.561,57626.301,68597.859,1201934,19612,15197,CHFC,163731102,CHEMICAL FINANCIAL CORP,0.0091852359,60.393063,0.47010481,1.039929,40.352318,1.9069487,6184.708,23.380301,696.5,29.790001,327.42801,0,56.807999,696.5,943.44928,31.67
19612,2014,465.07101,0.14709538,20216.09,46592.262,66808.352,1201934,19612,15197,CHFC,163731102,CHEMICAL FINANCIAL CORP,0.008483992,58.076141,0.48858473,1.0282789,41.287365,1.8954355,7322.1431,24.3221,797.133,32.773998,389.46701,0,62.120998,797.133,1004.1954,30.639999
19612,2015,373.93811,0.13497484,13823.73,57009.941,70833.672,1201934,19612,15197,CHFC,163731102,CHEMICAL FINANCIAL CORP,0.00944955,77.962273,0.62953383,1.0317825,49.139412,2.2749424,9188.7969,26.6185,1015.974,38.167999,456.207,183.383,86.830002,1015.974,1308.0175,34.27
19612,2016,131.48285,0.15251911,47284.297,39898.348,87182.641,1201934,19612,15197,CHFC,163731102,CHEMICAL FINANCIAL CORP,0.0062247701,82.892014,0.68405044,1.071611,104.58753,1.53022,17355.18,36.566002,2581.5259,70.598999,1294.136,471.758,108.032,2581.5259,3824.3479,54.169998
19617,2000,36.820587,0.10596854,,,,,19617,2968,JPM,46625H100,JPMORGAN CHASE & CO,0.0080058938,134.93488,5.2828898,1.0654335,4139.9692,2.969681,715348,21.1658,40818,1928.49,186066,37601,5727,42338,87625.766,45.4375
19617,2001,64.97995,0.096236616,,,,,19617,2968,JPM,46625H100,JPMORGAN CHASE & CO,0.0024424179,31.203724,4.9006543,1.0456222,3530.9407,0.85842437,693575,20.315399,40090,1973.3831,168204,33208,1694,41099,71732.469,36.349998
19617,2002,59.11108,0.094530113,636746.06,5707888,6344634,1039502,19617,2968,JPM,46625H100,JPMORGAN CHASE & CO,0.0021916183,19.96892,5.677918,1.0087928,2321.6135,0.83203834,758800,20.6619,41297,1998.7061,202073,38137,1663,42306,47968.945,24
19617,2003,234.68629,0.094209738,371016.28,3514643.3,3885659.5,1039502,19617,2968,JPM,46625H100,JPMORGAN CHASE & CO,0.008715651,120.81971,4.148221,1.0387599,3394.5872,3.2894013,770912,22.1015,45145,2042.621,143308,48149,6719,46154,75025.469,36.73
